resource_id,name,type,subject,area,difficulty,total_items,notes
1,X Yayınları - TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,Orta,1200,"Baskı-2024; ÖSYM seviyesine yakın kaliteli karışık soru seti."
2,Mehmet Hoca - TYT Matematik Konu Anlatımı,Video,Matematik,Genel,Başlangıç,100,"YouTube playlist; konsept örnek amaçlı."
3,Y Yayınları - TYT Matematik Soru Bankası,Soru,Matematik,Genel,İleri,1500,"Zorluk karışık; matematik örneği."
4,Paragraf Kampı - Günlük 20 dk,Video,Türkçe,Paragraf,Başlangıç,30,"Kısa videolar; günlük alışkanlık için."
5,karakok yayinlari ayt matematik soru bankasi,Soru,Matematik,Genel,İleri,1000,"Örnek veri – matematik."
6,345 TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,Orta,0,"Video çözümlü; sayfa düzeni geniş; orta–zor arası; detaylı ve analizli çözümler."
7,Aydın TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,Başlangıç,0,"Video çözümlü ve anlaşılır; temel seviye için uygun, konu anlatımlı yapı."
8,Palme TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,Orta,0,"Video çözümleri anlaşılır; kaliteli sorular; Aydın’a benzer zorluk."
9,Çap TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,Orta,0,"Video çözümleri mevcut; öğretici, seçici; çözüm kalitesi ortalama."
10,Yanıt Yayınları TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,Orta,0,"Çözümler var ancak ilk izleyişte zor; ikinci kaynak olarak uygun."
11,Bilgi Sarmal TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,İleri,0,"Kaliteli baskı ve soru seti; zorluk seviyesi yüksek; ÖSYM’ye yakın/üstü."
12,Limit Yayınları TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,Orta,0,"Anlaşılır video çözümleri; seviye sınav ve üzeri; gelişim sonrası uygun."
13,Yayın Denizi TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,Orta,0,"Video çözümleri anlaşılır; orta–zor; sınava yakın seviye."
14,Toprak Yayınları TYT Türkçe Soru Bankası,Soru,Türkçe,Genel,İleri,0,"Anlaşılır çözümler; üst seviye; sonlara doğru zorlayıcı sorular."
15,Tonguç Yayınları Paragraf Soru Bankası,Soru,Türkçe,Paragraf,Başlangıç,0,"Uygulama ve video çözümleriyle anlaşılır; başlangıç için ideal."
16,Tonguç Yayınları Paradox Paragraf Soru Bankası,Soru,Türkçe,Paragraf,İleri,0,"Sorular uzun/kapalı; yüksek zorluk; ileri seviye çalışması."
17,Hız ve Renk Paragraf Soru Bankası,Soru,Türkçe,Paragraf,Başlangıç,0,"Temel–kolay seviyede; alışkanlık kazanmak için birebir."
18,Bilgi Sarmal Paragraf Soru Bankası,Soru,Türkçe,Paragraf,Orta,0,"Başarılı video çözümleri; ikinci kaynak olarak güçlü tercih."
19,3D Yayınları Paragraf Soru Bankası,Soru,Türkçe,Paragraf,Orta,0,"Açıklayıcı çözümler; orta–üst zorluk; 2./3. kaynak için ideal."
20,Benim Hocam Taktiklerle Dil Bilgisi Soru Bankası,Soru,Türkçe,Dil Bilgisi,Başlangıç,0,"YouTube ile paralel; anlaşılır ve temel seviye."
21,Tonguç Yayınları Gramatik Dil Bilgisi Soru Bankası,Soru,Türkçe,Dil Bilgisi,Orta,0,"Video çözümleri var; orta seviye; YouTube ile desteklenebilir."
22,Miray Yayınları Dil Bilgisi Soru Bankası,Soru,Türkçe,Dil Bilgisi,Orta,0,"Anlaşılır çözümler; orta zorluk; ilk/ikinci kaynak olabilir."
23,Bilgi Sarmal Dil Bilgisi Soru Bankası,Soru,Türkçe,Dil Bilgisi,İleri,0,"Zorlayıcı ve kaliteli; ÖSYM seviyesine çok yakın."
24,Toprak Yayınları TYT Matematik Soru Bankası,Soru,Matematik,Genel,Başlangıç,0,"Video çözümlü; öğretici ve kolay; ÖSYM’den bir tık kolay; temel için uygun."
25,Rehber Matematik 49 Günde TYT Matematik Soru Bankası,Soru,Matematik,Genel,Başlangıç,0,"Video çözümlü; anlaşılır; 49 Günde TYT Matematik kampı ile birlikte ilerleyebilir."
26,Mert Hoca 70 Günde TYT Matematik Kampı Video Ders Kitabı,Soru,Matematik,Genel,Başlangıç,0,"Video çözümlü; haftalık testler; soru tipi ÖSYM’ye yakın; kolay-öğretici."
27,345 TYT Matematik Soru Bankası,Soru,Matematik,Genel,Orta,0,"Video çözümlü; kolaydan zora; testlere göre seviye değişir; analizli çözümler."
28,Bilgi Sarmal TYT Matematik Soru Bankası,Soru,Matematik,Genel,İleri,0,"Video çözümlü; seçici ve zorlayıcı; ortanın üstü; gelişim için güçlü kaynak."
29,Acil Matematik TYT Soru Bankası,Soru,Matematik,Genel,Orta,0,"Video çözümlü; önceki yıllara göre dengeli; orta–zor arası; geliştirici."
30,Paraf TYT Matematik Yeni Nesil Soru Kütüphanesi,Soru,Matematik,Genel,Orta,0,"Video çözümlü; uzun ve kapsamlı yeni nesil sorular; ÖSYM’ye yakın seviye."
31,Çap Yayınları TYT Matematik Soru Bankası,Soru,Matematik,Genel,Orta,0,"Video çözümlü; yeni nesil + klasik dengeli; orta–zor; konu öğrenimi sonrası iyi."
32,Aydın Yayınları TYT Matematik Soru Bankası,Soru,Matematik,Genel,Orta,0,"Video çözümlü; ÖSYM’ye yakın; düzenli tasarım; temel arttıkça zorlayabilir."
33,Orijinal Yayınları TYT Matematik Soru Bankası,Soru,Matematik,Genel,Başlangıç,0,"Video çözümlü; kullanımı kolay; test sayıları değişken; giriş seviyesi için uygun."
34,Şenol Hoca Çıtır Çerez Problemler Soru Bankası,Soru,Matematik,Problemler,Başlangıç,0,"Video çözümlü; anlaşılır; başlangıç için uygun; kamp ile uyumlu."
35,Sonuç Yayınları Problemler Fasikülü,Soru,Matematik,Problemler,Başlangıç,0,"Video çözümlü; başlangıç aşaması için ideal; problem rutini kazandırır."
36,Bilgi Sarmal Problemler Soru Bankası,Soru,Matematik,Problemler,Orta,0,"Video çözümlü; orta–üst seviye; düzenli rutinde geliştirici; özgün tarz."
37,Acil Yayınları Problemler Fasikülü,Soru,Matematik,Problemler,Orta,0,"Video çözümlü; orta seviye; yeni nesil sorular içerir; pratik kazandırır."
38,Tonguç Yayınları Problematik,Soru,Matematik,Problemler,Başlangıç,0,"Video çözümlü; kolay–orta; adım adım ilerleyen; temel oluşturmak için iyi."
39,Aydın Yayınları Problemler Fasikülü,Soru,Matematik,Problemler,Orta,0,"Video çözümlü; orta–üst; yeni nesil sorularla kapsamlı; düzenli çalışmada etkili."